"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2022-09-16",229.919998,234.279999,228.240005,233.639999,2719700,232.513351
"2022-09-19",230.820007,235.820007,230.809998,235.720001,1471700,234.583328
"2022-09-20",234.470001,234.690002,231.630005,233.539993,1746600,232.413834
"2022-09-21",235.610001,237.089996,230.339996,230.419998,1430500,229.308884
"2022-09-22",229.850006,232.490005,228.850006,230.470001,1628300,229.358643
"2022-09-23",230.240005,230.880005,227.690002,230.279999,1952500,229.169556
"2022-09-26",229.970001,232.399994,227.820007,228.639999,1686600,227.53746
"2022-09-27",230.410004,231.949997,225.529999,227.619995,1872700,226.522385
"2022-09-28",229.229996,233.339996,227.130005,231.949997,2337900,230.831497
"2022-09-29",230.809998,230.830002,225.330002,227.75,2020500,226.651764
"2022-09-30",227.770004,229.690002,225.940002,226.190002,2875300,225.099289
"2022-10-03",228.350006,233.470001,227.690002,232.25,1784200,231.130066
"2022-10-04",234.970001,237.960007,234.410004,236.619995,1941000,235.478989
"2022-10-05",235.429993,241.130005,234.050003,239.050003,1659100,237.897278
"2022-10-06",239.380005,240.970001,234.600006,234.889999,1497700,233.757324
"2022-10-07",231.949997,232.720001,225.910004,227.119995,2068400,226.024796
"2022-10-10",227.860001,230.300003,226.169998,228.690002,1081300,227.587234
"2022-10-11",228.179993,228.690002,225.110001,226.270004,1449600,225.178894
"2022-10-12",227.259995,227.419998,224.020004,224.110001,1215200,223.029312
"2022-10-13",219.580002,231.309998,218.800003,229.899994,1919300,228.791382
"2022-10-14",232.600006,233.210007,225.419998,225.910004,2166300,224.820633
"2022-10-17",230.330002,233.559998,229.880005,233.080002,2123100,231.956055
"2022-10-18",236.75,239.259995,232.770004,235.020004,1619100,233.886703
"2022-10-19",231.240005,234.190002,230.220001,233.240005,1631000,232.115295
"2022-10-20",233.600006,234.699997,228.880005,229.479996,1314300,228.373413
"2022-10-21",228.940002,233.169998,227.419998,232.740005,2112100,231.617706
"2022-10-24",235.300003,238.380005,233.449997,236.910004,1731700,235.767593
"2022-10-25",235.320007,238.399994,235.320007,237.759995,2216200,236.61348
"2022-10-26",246.029999,246.300003,233.880005,235.139999,2942400,234.006119
"2022-10-27",235.330002,238.259995,233.710007,234.970001,1806100,233.836945
"2022-10-28",236.050003,243.220001,235.570007,242.639999,1589200,241.469955
"2022-10-31",240.589996,242.389999,239.460007,241.699997,1711400,240.534485
"2022-11-01",242.339996,244.309998,240.880005,243.639999,1522600,242.465134
"2022-11-02",243.639999,247.75,237.339996,237.440002,1592400,236.295029
"2022-11-03",234.529999,239.860001,233.389999,236.100006,1987000,234.961502
"2022-11-04",238.820007,239.580002,232.080002,236.860001,1468600,235.717834
"2022-11-07",238.520004,241.229996,236.320007,240.410004,1250400,239.250717
"2022-11-08",240.940002,248.449997,240.119995,245.039993,1724200,243.858383
"2022-11-09",243.649994,245.600006,240.009995,240.380005,1242900,239.220856
"2022-11-10",251.179993,255.669998,247.580002,254.880005,2672800,253.65094
"2022-11-11",254.210007,255.960007,247.429993,249.229996,2126800,248.028168
"2022-11-14",248.990005,252.759995,248.360001,250.080002,1556600,248.874084
"2022-11-15",250.690002,254.940002,248.899994,253.320007,1517300,252.098465
"2022-11-16",254.649994,256.720001,253.050003,253.619995,1430800,252.397003
"2022-11-17",250.940002,255,249.75,253.550003,1116700,252.327347
"2022-11-18",256.399994,257.820007,253.820007,256.019989,1806600,254.785431
"2022-11-21",257.899994,260.429993,256.149994,257.600006,1243600,256.357819
"2022-11-22",259.829987,262.540009,258.059998,261.970001,1267400,260.706757
"2022-11-23",261.959991,264,260.23999,262.579987,1386300,261.313782
"2022-11-25",263.600006,264.940002,261.959991,263.950012,594700,262.677216
"2022-11-28",263.48999,264.350006,257.600006,258.329987,1465700,257.08429
"2022-11-29",257.149994,258.709991,255.429993,257.059998,1131700,255.820419
"2022-11-30",257.079987,264.950012,254.639999,264.140015,4155500,262.866302
"2022-12-01",267.059998,269.399994,263.910004,267.950012,1449900,266.657928
"2022-12-02",263.109985,270.880005,263.109985,269.899994,1807000,268.598511
"2022-12-05",266.549988,267,263.459991,264.390015,1256000,263.115082
"2022-12-06",264.279999,264.670013,257.049988,258.529999,1371300,257.283325
"2022-12-07",259.230011,259.809998,257.329987,259.220001,1265500,257.970001
"2022-12-08",258.369995,261.019989,258.200012,260.049988,1197200,260.049988
"2022-12-09",260.170013,260.380005,256.950012,257.200012,1991400,257.200012
"2022-12-12",258.660004,264.980011,256.869995,264.429993,1277600,264.429993
"2022-12-13",273.890015,274.920013,261.100006,262.200012,2086100,262.200012
"2022-12-14",262.48999,265.459991,258.679993,260.079987,1863100,260.079987
"2022-12-15",256.959991,257.700012,248.080002,248.789993,1843200,248.789993
"2022-12-16",246.25,247.919998,244.440002,247.050003,4051700,247.050003
"2022-12-19",245.309998,247.100006,243.660004,245.059998,1810400,245.059998
"2022-12-20",244.880005,245.309998,241.639999,243.910004,1445900,243.910004
"2022-12-21",245.919998,247.559998,244.130005,247.039993,1341300,247.039993
"2022-12-22",244.479996,244.710007,236.740005,239.160004,2369700,239.160004
"2022-12-23",237.919998,241.649994,236.589996,240.940002,1049600,240.940002
"2022-12-27",241.369995,242.190002,239.339996,241.029999,926700,241.029999
"2022-12-28",241.350006,242.740005,237.720001,237.850006,1045300,237.850006
"2022-12-29",238.179993,241.830002,238.179993,240.619995,975200,240.619995
"2022-12-30",239.699997,240.199997,236.050003,238.860001,1042600,238.860001
