"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2022-09-29",146.100006,146.720001,140.679993,142.479996,128138200,142.027176
"2022-09-30",141.279999,143.100006,138,138.199997,124925300,137.760773
"2022-10-03",138.210007,143.070007,137.690002,142.449997,114311700,141.997284
"2022-10-04",145.029999,146.220001,144.259995,146.100006,87830100,145.635681
"2022-10-05",144.070007,147.380005,143.009995,146.399994,79471000,145.934723
"2022-10-06",145.809998,147.539993,145.220001,145.429993,68402200,144.967804
"2022-10-07",142.539993,143.100006,139.449997,140.089996,85925600,139.644775
"2022-10-10",140.419998,141.889999,138.570007,140.419998,74899000,139.97374
"2022-10-11",139.899994,141.350006,138.220001,138.979996,77033700,138.5383
"2022-10-12",139.130005,140.360001,138.160004,138.339996,70433700,137.90033
"2022-10-13",134.990005,143.589996,134.369995,142.990005,113224000,142.535568
"2022-10-14",144.309998,144.520004,138.190002,138.380005,88598000,137.940216
"2022-10-17",141.070007,142.899994,140.270004,142.410004,85250900,141.957413
"2022-10-18",145.490005,146.699997,140.610001,143.75,99136600,143.293152
"2022-10-19",141.690002,144.949997,141.5,143.860001,61758300,143.402802
"2022-10-20",143.020004,145.889999,142.649994,143.389999,64522000,142.934296
"2022-10-21",142.869995,147.850006,142.649994,147.270004,86548600,146.801956
"2022-10-24",147.190002,150.229996,146,149.449997,75981900,148.975021
"2022-10-25",150.089996,152.490005,149.360001,152.339996,74732300,151.85585
"2022-10-26",150.960007,151.990005,148.039993,149.350006,88194300,148.875351
"2022-10-27",148.070007,149.050003,144.130005,144.800003,109180200,144.339813
"2022-10-28",148.199997,157.5,147.820007,155.740005,164762400,155.245056
"2022-10-31",153.160004,154.240005,151.919998,153.339996,97943200,152.852676
"2022-11-01",155.080002,155.449997,149.130005,150.649994,80379300,150.171219
"2022-11-02",148.949997,152.169998,145,145.029999,93604600,144.569077
"2022-11-03",142.059998,142.800003,138.75,138.880005,97918500,138.438629
"2022-11-04",142.089996,142.669998,134.380005,138.380005,140814800,138.169037
"2022-11-07",137.110001,139.149994,135.669998,138.919998,83374600,138.708206
"2022-11-08",140.410004,141.429993,137.490005,139.5,89908500,139.287338
"2022-11-09",138.5,138.550003,134.589996,134.869995,74917800,134.664383
"2022-11-10",141.240005,146.869995,139.5,146.869995,118854000,146.646088
"2022-11-11",145.820007,150.009995,144.369995,149.699997,93979700,149.471771
"2022-11-14",148.970001,150.279999,147.429993,148.279999,73374100,148.05394
"2022-11-15",152.220001,153.589996,148.559998,150.039993,89868300,149.811249
"2022-11-16",149.130005,149.869995,147.289993,148.789993,64218300,148.563156
"2022-11-17",146.429993,151.479996,146.149994,150.720001,80389400,150.490234
"2022-11-18",152.309998,152.699997,149.970001,151.289993,74829600,151.059357
"2022-11-21",150.160004,150.369995,147.720001,148.009995,58724100,147.784348
"2022-11-22",148.130005,150.419998,146.929993,150.179993,51804100,149.951035
"2022-11-23",149.449997,151.830002,149.339996,151.070007,58301400,150.839706
"2022-11-25",148.309998,148.880005,147.119995,148.110001,35195900,147.884201
"2022-11-28",145.139999,146.639999,143.380005,144.220001,69246000,144.000137
"2022-11-29",144.289993,144.809998,140.350006,141.169998,83763800,140.954788
"2022-11-30",141.399994,148.720001,140.550003,148.029999,111380900,147.804321
"2022-12-01",148.210007,149.130005,146.610001,148.309998,71250400,148.083893
"2022-12-02",145.960007,148,145.649994,147.809998,65447400,147.584656
"2022-12-05",147.770004,150.919998,145.770004,146.630005,68826400,146.406464
"2022-12-06",147.070007,147.300003,141.919998,142.910004,64727200,142.692139
"2022-12-07",142.190002,143.369995,140,140.940002,69721100,140.725143
"2022-12-08",142.360001,143.520004,141.100006,142.649994,62128300,142.432526
"2022-12-09",142.339996,145.570007,140.899994,142.160004,76097000,141.943283
"2022-12-12",142.699997,144.5,141.059998,144.490005,70462700,144.26973
"2022-12-13",149.5,149.970001,144.240005,145.470001,93886200,145.24823
"2022-12-14",145.350006,146.660004,141.160004,143.210007,82291200,142.991684
"2022-12-15",141.110001,141.800003,136.029999,136.5,98931900,136.291901
"2022-12-16",136.690002,137.649994,133.729996,134.509995,160156900,134.304932
"2022-12-19",135.110001,135.199997,131.320007,132.369995,79592600,132.168198
"2022-12-20",131.389999,133.25,129.889999,132.300003,77432800,132.098312
"2022-12-21",132.979996,136.809998,132.75,135.449997,85928000,135.2435
"2022-12-22",134.350006,134.559998,130.300003,132.229996,77852100,132.028412
"2022-12-23",130.919998,132.419998,129.639999,131.860001,63814900,131.658981
"2022-12-27",131.380005,131.410004,128.720001,130.029999,69007800,129.831772
"2022-12-28",129.669998,131.029999,125.870003,126.040001,85438400,125.847855
"2022-12-29",127.989998,130.479996,127.730003,129.610001,75703700,129.412415
"2022-12-30",128.410004,129.949997,127.43,129.929993,76960600,129.731918
"2023-01-03",130.279999,130.899994,124.169998,125.07,112117500,124.879326
"2023-01-04",126.889999,128.660004,125.080002,126.360001,89113600,126.167366
"2023-01-05",127.129997,127.769997,124.760002,125.019997,80962700,124.829399
"2023-01-06",126.010002,130.289993,124.889999,129.619995,87686600,129.422394
"2023-01-09",130.470001,133.410004,129.889999,130.149994,70790800,129.951584
"2023-01-10",130.259995,131.259995,128.119995,130.729996,63896200,130.530701
"2023-01-11",131.25,133.509995,130.460007,133.490005,69458900,133.286499
"2023-01-12",133.880005,134.259995,131.440002,133.410004,71379600,133.206619
"2023-01-13",132.029999,134.919998,131.660004,134.759995,57758000,134.55455
"2023-01-17",134.830002,137.289993,134.130005,135.940002,63646600,135.732758
"2023-01-18",136.820007,138.610001,135.029999,135.210007,69672800,135.003876
"2023-01-19",134.080002,136.25,133.770004,135.270004,58280400,135.063782
"2023-01-20",135.279999,138.020004,134.220001,137.869995,79972200,137.659805
"2023-01-23",138.119995,143.320007,137.899994,141.110001,81760300,140.894882
"2023-01-24",140.309998,143.160004,140.300003,142.529999,66435100,142.312714
"2023-01-25",140.889999,142.429993,138.809998,141.860001,65799300,141.643738
"2023-01-26",143.169998,144.25,141.899994,143.960007,54105100,143.74054
"2023-01-27",143.160004,147.229996,143.080002,145.929993,70492800,145.70752
"2023-01-30",144.960007,145.550003,142.850006,143,64015300,142.781998
"2023-01-31",142.699997,144.339996,142.279999,144.289993,65874500,144.070023
"2023-02-01",143.970001,146.610001,141.320007,145.429993,77663600,145.208282
"2023-02-02",148.899994,151.179993,148.169998,150.820007,118339000,150.590088
"2023-02-03",148.029999,157.380005,147.830002,154.5,154279900,154.264465
"2023-02-06",152.570007,153.100006,150.779999,151.729996,69858300,151.498688
"2023-02-07",150.639999,155.229996,150.639999,154.649994,83322600,154.41423
"2023-02-08",153.880005,154.580002,151.169998,151.919998,64120100,151.6884
"2023-02-09",153.779999,154.330002,150.419998,150.869995,56007100,150.639999
"2023-02-10",149.460007,151.339996,149.220001,151.009995,57409100,151.009995
"2023-02-13",150.949997,154.259995,150.919998,153.850006,62199000,153.850006
"2023-02-14",152.119995,153.770004,150.860001,153.199997,61707600,153.199997
"2023-02-15",153.110001,155.5,152.880005,155.330002,65669300,155.330002
"2023-02-16",153.509995,156.330002,153.350006,153.710007,68167900,153.710007
"2023-02-17",152.350006,153,150.850006,152.550003,59095900,152.550003
"2023-02-21",150.199997,151.300003,148.410004,148.479996,58867200,148.479996
